iau_name,ra_str,dec_str,pos_code,pos_ref,alt_name,epoch,flux_P_jy,flux_L_jy,flux_C_jy,flux_X_jy,flux_U_jy,flux_K_jy,flux_Q_jy,struct_L_A,struct_L_B,struct_L_C,struct_L_D
1409-269,14h09m50.169776s,"-26d57'36.979720""",A,Aug01,,J2000,,,,,,,,,,,
1425-299,14h25m29.1162s,"-29d59'54.331""",T,,,J2000,,,,,,,,,,,
1427-421,14h27m56.297560s,"-42d06'19.437620""",A,Aug01,,J2000,,,,,,,,,,,
1428-276,14h28m28.1931s,"-27d41'51.042""",T,,,J2000,,,,,,,,,,,
1432-180,14h32m57.690643s,"-18d01'35.248850""",A,Aug01,,J2000,,,,,,,,,,,
1433-158,14h33m21.459309s,"-15d48'44.687310""",A,Aug01,,J2000,,,,,,,,,,,
1438-220,14h38m09.469425s,"-22d04'54.748090""",A,Aug01,,J2000,,,,,,,,,,,
1439-169,14h39m28.6749s,"-16d59'03.082""",T,,,J2000,,,,,,,,,,,
1439-155,14h39m56.872054s,"-15d31'50.555240""",A,Aug01,,J2000,,,,,,,,,,,
1445-164,14h45m53.376319s,"-16d29'01.619120""",A,Aug01,,J2000,,,,,,,,,,,
1448-163,14h48m15.054162s,"-16d20'24.548880""",A,Aug01,,J2000,,,,,,,,,,,
1454-377,14h54m27.409764s,"-37d47'33.144830""",A,Aug01,,J2000,,,,,,,,,,,
1454-402,14h54m32.912371s,"-40d12'32.514390""",A,Aug01,,J2000,,,,,,,,,,,
1507-168,15h07m04.786960s,"-16d52'30.267340""",A,Aug01,,J2000,,,,,,,,,,,
1510-057,15h10m53.591431s,"-05d43'07.417180""",A,Aug01,,J2000,,,,,,,,,,,
1512-090,15h12m50.532939s,"-09d05'59.829500""",B,Aug01,,J2000,,,,,,,,,,,
1513-102,15h13m44.893444s,"-10d12'00.264350""",A,Aug01,,J2000,,,,,,,,,,,
1513-212,15h13m56.970129s,"-21d14'57.506900""",A,Aug01,,J2000,,,,,,,,,,,
1517-243,15h17m41.813132s,"-24d22'19.475940""",A,Aug01,,J2000,,,,,,,,,,,
1522-275,15h22m37.675991s,"-27d30'10.785430""",A,Aug01,,J2000,,,,,,,,,,,
1526-138,15h26m59.440733s,"-13d51'00.163560""",B,Aug01,,J2000,,,,,,,,,,,
1543-079,15h43m01.687567s,"-07d57'06.629160""",B,Aug01,,J2000,,,,,,,,,,,
1554-270,15h54m02.469795s,"-27d04'40.233150""",A,Aug01,,J2000,,,,,,,,,,,
1557-000,15h57m51.433973s,"-00d01'50.413710""",A,Aug01,,J2000,,,,,,,,,,,
1558-141,15h58m21.948056s,"-14d09'59.050910""",A,Aug01,,J2000,,,,,,,,,,,
1604-446,16h04m31.024731s,"-44d41'31.909238""",A,,,J2000,,,,,,,,,,,
1605-175,16h05m02.1926s,"-17d34'14.406""",T,,,J2000,,,,,,,,,,,
1607-335,16h07m34.762344s,"-33d31'08.913130""",A,Aug01,,J2000,,,,,,,,,,,
1623-116,16h23m59.5170s,"-11d40'43.790""",T,,,J2000,,,,,,,,,,,
1625-254,16h25m46.891639s,"-25d27'38.326880""",A,Aug01,,J2000,,,,,,,,,,,
1625-311,16h25m55.4381s,"-31d08'08.341""",T,,,J2000,,,,,,,,,,,
1626-298,16h26m06.020843s,"-29d51'26.971080""",A,Aug01,,J2000,,,,,,,,,,,
1646-224,16h46m04.7335s,"-22d27'59.903""",T,,,J2000,,,,,,,,,,,
1650-297,16h50m39.544144s,"-29d43'46.954940""",A,Aug01,,J2000,,,,,,,,,,,
1658-076,16h58m44.0610s,"-07d39'17.629""",C,,,J2000,,,,,,,,,,,
1700-261,17h00m53.154055s,"-26d10'51.725110""",A,Aug01,,J2000,,,,,,,,,,,
1701-299,17h01m09.7599s,"-29d54'39.229""",T,,,J2000,,,,,,,,,,,
1709-174,17h09m34.345380s,"-17d28'53.364800""",A,Aug01,,J2000,,,,,,,,,,,
1712-281,17h12m57.0055s,"-28d09'33.056""",T,,,J2000,,,,,,,,,,,
1713-269,17h13m31.2756s,"-26d58'52.523""",B,Nov02,JVAS,J2000,,,,,,,,,,,
1714-252,17h14m47.8570s,"-25d14'35.144""",C,Apr97,,J2000,,,,,,,,,,,
1717-337,17h17m36.0300s,"-33d42'08.764""",B,Nov02,JVAS,J2000,,,,,,,,,,,
1717-398,17h17m38.5977s,"-39d48'52.586""",B,Nov02,JVAS,J2000,,,,,,,,,,,
1720-358,17h20m21.8042s,"-35d52'47.708""",C,May00,,J2000,,,,,,,,,,,
1733-130,17h33m02.705790s,"-13d04'49.548230""",B,Aug01,,J2000,,,,,,,,,,,
1733-373,17h33m15.1926s,"-37d22'32.396""",B,Nov02,JVAS,J2000,,,,,,,,,,,
1743-309,17h43m17.8801s,"-30d58'17.697""",C,,,J2000,,,,,,,,,,,
1743-038,17h43m58.856137s,"-03d50'04.616680""",A,Aug01,,J2000,,,,,,,,,,,
1744-312,17h44m23.5826s,"-31d16'35.986""",C,May00,,J2000,,,,,,,,,,,
1745-078,17h45m27.1040s,"-07d53'03.600""",C,Dec00,,J2000,,,,,,,,,,,
1745-290,17h45m40.0383s,"-29d00'28.069""",C,Apr99,SgrA*,J2000,,,,,,,,,,,
1751-253,17h51m51.263047s,"-25d24'00.060610""",B,Aug01,,J2000,,,,,,,,,,,
1755-225,17h55m26.2847s,"-22d32'10.593""",B,Nov02,JVAS,J2000,,,,,,,,,,,
1807-251,18h07m40.6899s,"-25d06'25.906""",B,Nov02,JVAS,J2000,,,,,,,,,,,
1811-209,18h11m06.8000s,"-20d55'03.444""",T,,,J2000,,,,,,,,,,,
1812-068,18h12m50.941918s,"-06d48'23.853810""",T,Aug01,,J2000,,,,,,,,,,,
1818-111,18h18m19.3166s,"-11d08'48.329""",B,Nov02,JVAS,J2000,,,,,,,,,,,
1820-097,18h20m38.1071s,"-09d47'17.071""",T,,,J2000,,,,,,,,,,,
1820-254,18h20m57.848685s,"-25d28'12.584560""",A,Aug01,,J2000,,,,,,,,,,,
1822-131,18h22m10.9030s,"-13d09'44.230""",T,,,J2000,,,,,,,,,,,
1822-096,18h22m28.7042s,"-09d38'56.835""",T,,,J2000,,,,,,,,,,,
1825-173,18h25m36.5367s,"-17d18'49.945""",C,Oct01,VERA,J2000,,,,,,,,,,,
1830-360,18h30m58.8829s,"-36d02'30.132""",C,,,J2000,,,,,,,,,,,
1832-206,18h32m11.0465s,"-20d39'48.203""",B,Nov02,JVAS,J2000,,,,,,,,,,,
1832-105,18h32m20.8360s,"-10d35'11.200""",C,Aug99,,J2000,,,,,,,,,,,
1833-210,18h33m39.9150s,"-21d03'40.050""",C,Jun01,,J2000,,,,,,,,,,,
1834-030,18h34m13.9273s,"-03d01'21.125""",B,Nov02,JVAS,J2000,,,,,,,,,,,
1834-126,18h34m19.2165s,"-12d37'40.945""",T,,,J2000,,,,,,,,,,,
1902-234,19h02m49.2525s,"-23d29'52.084""",T,,,J2000,,,,,,,,,,,
1911-201,19h11m09.652893s,"-20d06'55.109070""",A,Aug01,,J2000,,,,,,,,,,,
1923-210,19h23m32.189815s,"-21d04'33.333080""",A,Aug01,,J2000,,,,,,,,,,,
1924-292,19h24m51.055957s,"-29d14'30.121150""",A,Aug01,,J2000,,,,,,,,,,,
1937-399,19h37m16.217362s,"-39d58'01.553060""",A,Aug01,,J2000,,,,,,,,,,,
1939-154,19h39m26.657740s,"-15d25'43.058320""",A,Aug01,,J2000,,,,,,,,,,,
1939-100,19h39m57.256573s,"-10d02'41.521100""",A,Aug01,,J2000,,,,,,,,,,,
1941-154,19h41m15.0289s,"-15d24'31.309""",T,,,J2000,,,,,,,,,,,
1949-199,19h49m53.420177s,"-19d57'13.330400""",A,Aug01,VSOP,J2000,,,,,,,,,,,
1956-076,19h56m11.0910s,"-07d36'54.567""",T,3C404,,J2000,,,,,,,,,,,
1956-324,19h56m59.4858s,"-32d25'46.277""",C,,,J2000,,,,,,,,,,,
1957-387,19h57m59.819271s,"-38d45'06.356260""",A,Aug01,,J2000,,,,,,,,,,,
2000-178,20h00m57.090448s,"-17d48'57.672510""",A,Aug01,,J2000,,,,,,,,,,,
2003-328,20h03m24.116306s,"-32d51'45.132310""",A,Aug01,,J2000,,,,,,,,,,,
2005-373,20h05m55.0728s,"-37d23'41.191""",C,,,J2000,,,,,,,,,,,
2007-445,20h07m55.1880s,"-44d34'43.102""",C,,,J2000,,,,,,,,,,,
2011-067,20h11m14.215847s,"-06d44'03.555190""",A,Aug01,,J2000,,,,,,,,,,,
2011-157,20h11m15.710931s,"-15d46'40.253820""",A,Aug01,,J2000,,,,,,,,,,,
2035-349,20h35m47.8091s,"-34d54'08.925""",T,,,J2000,,,,,,,,,,,
2040-251,20h40m08.772872s,"-25d07'46.662820""",A,Aug01,,J2000,,,,,,,,,,,
2047-026,20h47m10.3514s,"-02d36'22.152""",C,3C422,,J2000,,,,,,,,,,,
2047-166,20h47m19.667018s,"-16d39'05.842580""",A,Aug01,,J2000,,,,,,,,,,,
2057-375,20h57m41.603454s,"-37d34'02.989870""",A,Aug01,,J2000,,,,,,,,,,,
2101-295,21h01m01.659969s,"-29d33'27.836500""",A,Aug01,,J2000,,,,,,,,,,,
2101-423,21h01m59.114191s,"-42d19'16.161870""",B,Aug01,,J2000,,,,,,,,,,,
2109-411,21h09m33.188582s,"-41d10'20.605300""",A,Aug01,,J2000,,,,,,,,,,,
2110-103,21h10m00.979002s,"-10d20'57.319410""",A,Aug01,VSOP,J2000,,,,,,,,,,,
2114-350,21h14m03.3425s,"-35d02'35.632""",T,,,J2000,,,,,,,,,,,
2114-256,21h14m40.0404s,"-25d41'48.835""",T,,,J2000,,,,,,,,,,,
2129-156,21h29m12.175902s,"-15d38'41.040850""",A,Aug01,,J2000,,,,,,,,,,,
2129-183,21h29m21.419099s,"-18d21'22.790190""",A,Aug01,,J2000,,,,,,,,,,,
2131-206,21h31m01.4866s,"-20d36'56.376""",T,,,J2000,,,,,,,,,,,
2131-121,21h31m35.261758s,"-12d07'04.795880""",A,Aug01,,J2000,,,,,,,,,,,
2134-018,21h34m10.309614s,"-01d53'17.238900""",A,Aug01,,J2000,,,,,,,,,,,
2137-207,21h37m50.0018s,"-20d42'31.751""",C,,,J2000,,,,,,,,,,,
2138-246,21h38m37.181102s,"-24d39'54.466150""",A,Aug01,,J2000,,,,,,,,,,,
2142-046,21h42m36.901689s,"-04d37'43.512810""",A,Aug01,,J2000,,,,,,,,,,,
2146-154,21h46m22.979340s,"-15d25'43.885260""",A,Aug01,,J2000,,,,,,,,,,,
2149-130,21h49m28.6525s,"-13d04'25.161""",T,,,J2000,,,,,,,,,,,
2151-304,21h51m55.524001s,"-30d27'53.698170""",A,Aug01,,J2000,,,,,,,,,,,
2152-284,21h52m03.7352s,"-28d28'28.218""",T,,,J2000,,,,,,,,,,,
2158-150,21h58m06.281901s,"-15d01'09.328090""",A,Aug01,,J2000,,,,,,,,,,,
2158-302,21h58m52.065093s,"-30d13'32.118420""",A,Aug01,,J2000,,,,,,,,,,,
2206-185,22h06m10.417082s,"-18d35'38.746520""",B,Aug01,,J2000,,,,,,,,,,,
2213-254,22h13m02.497951s,"-25d29'30.079710""",A,Aug01,,J2000,,,,,,,,,,,
2214-385,22h14m38.569313s,"-38d35'45.009880""",B,Aug01,,J2000,,,,,,,,,,,
2218-035,22h18m52.037725s,"-03d35'36.879410""",A,Aug01,,J2000,,,,,,,,,,,
